Id_Rssd,asOfDate,link.node.ratio
1026632,2000-06-30,1.17910447761194
1026632,2000-09-30,1.17910447761194
1026632,2000-12-31,1.17391304347826
1026632,2001-03-31,1.17142857142857
1026632,2001-06-30,1.17105263157895
1026632,2001-09-30,1.16417910447761
1026632,2001-12-31,1.15942028985507
1026632,2002-03-31,1.15873015873016
1026632,2002-06-30,1.15873015873016
1026632,2002-09-30,1.16393442622951
1026632,2002-12-31,1.17241379310345
1026632,2003-03-31,1.14814814814815
1026632,2003-06-30,1.14
1026632,2003-09-30,1.14285714285714
1026632,2003-12-31,1.14583333333333
1026632,2004-03-31,1.11864406779661
1026632,2004-06-30,1.11666666666667
1026632,2004-09-30,1.11864406779661
1026632,2004-12-31,1.1304347826087
1026632,2005-03-31,1.12765957446809
1026632,2005-06-30,1.12765957446809
1026632,2005-09-30,1.12765957446809
1026632,2005-12-31,1.12765957446809
1026632,2006-03-31,1.12765957446809
1026632,2006-06-30,1.125
1026632,2006-09-30,1.1304347826087
1026632,2006-12-31,1.1304347826087
1026632,2007-03-31,1.12
1026632,2007-06-30,1.12
1026632,2007-09-30,1.20689655172414
1026632,2011-09-30,1.125
1026632,2011-12-31,1.125
1026632,2012-03-31,1.125
1026632,2012-06-30,1.125
1026632,2012-09-30,1.125
1026632,2012-12-31,1.05357142857143
1026632,2013-03-31,1.05660377358491
1026632,2013-06-30,1.05660377358491
1026632,2013-09-30,1.05769230769231
1026632,2013-12-31,1.05882352941176
1026632,2014-03-31,1.05882352941176
1026632,2014-06-30,1.06122448979592
1026632,2014-09-30,1.06382978723404
1026632,2014-12-31,1.0625
1026632,2015-03-31,1.0625
1026632,2015-06-30,1.06122448979592
1026632,2015-09-30,1.04
1026632,2015-12-31,1.04
1026632,2016-03-31,1.04081632653061
1026632,2016-06-30,1.04081632653061
1026632,2016-09-30,1.04166666666667
1026632,2016-12-31,1.04347826086957
1026632,2017-03-31,1.04347826086957
1026632,2017-06-30,1.04444444444444
1026632,2017-09-30,1.04761904761905
1026632,2017-12-31,1.04651162790698
1026632,2018-03-31,1.04651162790698
1026632,2018-06-30,1.04761904761905
1026632,2018-09-30,1.04651162790698
1037003,1999-12-31,1.03448275862069
1037003,2000-03-31,1.03225806451613
1037003,2000-06-30,1.03225806451613
1037003,2000-09-30,1.03333333333333
1037003,2000-12-31,1.02631578947368
1037003,2001-03-31,1.02631578947368
1037003,2001-06-30,1.02702702702703
1037003,2001-09-30,1.03703703703704
1037003,2001-12-31,1.03846153846154
1037003,2002-03-31,1.03846153846154
1037003,2002-06-30,1.03846153846154
1037003,2002-09-30,1.03846153846154
1037003,2002-12-31,1.03571428571429
1037003,2003-03-31,1.03846153846154
1037003,2003-06-30,1.09433962264151
1037003,2003-09-30,1.09803921568627
1037003,2003-12-31,1.1
1037003,2004-03-31,1.10204081632653
1037003,2004-06-30,1.10204081632653
1037003,2004-09-30,1.10204081632653
1037003,2004-12-31,1.1
1037003,2005-03-31,1.1
1037003,2005-06-30,1.10204081632653
1037003,2005-09-30,1.10204081632653
1037003,2005-12-31,1.04347826086957
1037003,2006-03-31,1.04166666666667
1037003,2006-06-30,1.04166666666667
1037003,2006-09-30,1.04651162790698
1037003,2006-12-31,1.02564102564103
1037003,2007-03-31,1.02702702702703
1037003,2007-06-30,1.02777777777778
1037003,2007-09-30,1.02777777777778
1037003,2007-12-31,1.02631578947368
1037003,2008-03-31,1.02564102564103
1037003,2008-06-30,1.02564102564103
1037003,2008-09-30,1.02564102564103
1037003,2008-12-31,1.02631578947368
1037003,2009-03-31,1.02702702702703
1037003,2009-06-30,1.025
1037003,2009-09-30,1.025
1037003,2009-12-31,1.02564102564103
1037003,2010-03-31,1.02564102564103
1037003,2010-06-30,1.02564102564103
1037003,2010-09-30,1.02564102564103
1037003,2010-12-31,1.02564102564103
1037003,2011-03-31,1.02564102564103
1037003,2011-06-30,1.03409090909091
1037003,2011-09-30,1.04545454545455
1037003,2011-12-31,1.04545454545455
1037003,2012-03-31,1.04545454545455
1037003,2012-06-30,1.04545454545455
1037003,2012-09-30,1.04651162790698
1037003,2012-12-31,1.03571428571429
1037003,2013-03-31,1.03571428571429
1037003,2013-06-30,1.03571428571429
1037003,2013-09-30,1.03571428571429
1037003,2013-12-31,1.03896103896104
1037003,2014-03-31,1.03947368421053
1037003,2014-06-30,1.04225352112676
1037003,2014-09-30,1.04285714285714
1037003,2014-12-31,1.04411764705882
1037003,2015-03-31,1.02985074626866
1037003,2015-06-30,1.03174603174603
1037003,2015-09-30,1.03174603174603
1037003,2015-12-31,1.03225806451613
1037003,2016-03-31,1.03636363636364
1037003,2016-06-30,1.03846153846154
1037003,2016-09-30,1.02222222222222
1037003,2016-12-31,1.02222222222222
1037003,2017-03-31,1.025
1037003,2017-06-30,1.025
1037003,2017-09-30,1.02631578947368
1037003,2017-12-31,1.02777777777778
1037003,2018-03-31,1.02777777777778
1037003,2018-06-30,1.02777777777778
1037003,2018-09-30,1.02777777777778
1039502,1999-12-31,1.0804311774461
1039502,2000-03-31,1.07672849915683
1039502,2000-06-30,1.07445956765412
1039502,2000-09-30,1.06678486997636
1039502,2000-12-31,1.1044921875
1039502,2001-03-31,1.10187932739862
1039502,2001-06-30,1.10528967254408
1039502,2001-09-30,1.08794541319181
1039502,2001-12-31,1.08333333333333
1039502,2002-03-31,1.08195429472025
1039502,2002-06-30,1.08267716535433
1039502,2002-09-30,1.08562450903378
1039502,2002-12-31,1.09163346613546
1039502,2003-03-31,1.09538950715421
1039502,2003-06-30,1.09756097560976
1039502,2003-09-30,1.09346504559271
1039502,2003-12-31,1.09293394777266
1039502,2004-03-31,1.09326018808777
1039502,2004-06-30,1.09707971586425
1039502,2004-09-30,1.08542372881356
1039502,2004-12-31,1.09112627986348
1039502,2005-03-31,1.09198512005411
1039502,2005-06-30,1.09176470588235
1039502,2005-09-30,1.09142475809142
1039502,2005-12-31,1.09665551839465
1039502,2006-03-31,1.09626199139927
1039502,2006-06-30,1.09644163618224
1039502,2006-09-30,1.09631351710395
1039502,2006-12-31,1.10377043710377
1039502,2007-03-31,1.10665760869565
1039502,2007-06-30,1.10828463389481
1039502,2007-09-30,1.10772913816689
1039502,2007-12-31,1.10805300713558
1039502,2008-03-31,1.10451306413302
1039502,2008-06-30,1.08498331479422
1039502,2008-09-30,1.08453159041394
1039502,2008-12-31,1.08661069376933
1039502,2009-03-31,1.08635346756152
1039502,2009-06-30,1.08795978981037
1039502,2009-09-30,1.08862220170782
1039502,2009-12-31,1.09206275957545
1039502,2010-03-31,1.08509637987776
1039502,2010-06-30,1.08637008991955
1039502,2010-09-30,1.07672955974843
1039502,2010-12-31,1.0785472972973
1039502,2011-03-31,1.07838070628768
1039502,2011-06-30,1.08055136765023
1039502,2011-09-30,1.08170212765957
1039502,2011-12-31,1.09684210526316
1039502,2012-03-31,1.09461620469083
1039502,2012-06-30,1.09508547008547
1039502,2012-09-30,1.0989152892562
1039502,2012-12-31,1.09862385321101
1039502,2013-03-31,1.09832317073171
1039502,2013-06-30,1.09976798143852
1039502,2013-09-30,1.10136351942372
1039502,2013-12-31,1.10748264335305
1039502,2014-03-31,1.11090861754751
1039502,2014-06-30,1.11781684597219
1039502,2014-09-30,1.12430278884462
1039502,2014-12-31,1.17601410934744
1039502,2015-03-31,1.18106252258764
1039502,2015-06-30,1.18511662347279
1039502,2015-09-30,1.18589743589744
1039502,2015-12-31,1.21400088613203
1039502,2016-03-31,1.20413064361191
1039502,2016-06-30,1.21081081081081
1039502,2016-09-30,1.21131697546319
1039502,2016-12-31,1.23881499395405
1039502,2017-03-31,1.24413443246671
1039502,2017-06-30,1.16197783461211
1039502,2017-09-30,1.15561959654179
1039502,2017-12-31,1.1654373024236
1039502,2018-03-31,1.16595744680851
1039502,2018-06-30,1.16233766233766
1039502,2018-09-30,1.15946843853821
1068025,1999-12-31,1.10769230769231
1068025,2000-03-31,1.10780669144981
1068025,2000-06-30,1.11058263971463
1068025,2000-09-30,1.11111111111111
1068025,2000-12-31,1.11525423728814
1068025,2001-03-31,1.11111111111111
1068025,2001-06-30,1.11073446327684
1068025,2001-09-30,1.12109375
1068025,2001-12-31,1.11616161616162
1068025,2002-03-31,1.11645569620253
1068025,2002-06-30,1.11557788944724
1068025,2002-09-30,1.11442786069652
1068025,2002-12-31,1.1136638452237
1068025,2003-03-31,1.1039119804401
1068025,2003-06-30,1.10645933014354
1068025,2003-09-30,1.10274790919952
1068025,2003-12-31,1.1067615658363
1068025,2004-03-31,1.10991636798088
1068025,2004-06-30,1.10643564356436
1068025,2004-09-30,1.10767326732673
1068025,2004-12-31,1.10718635809988
1068025,2005-03-31,1.10661764705882
1068025,2005-06-30,1.10687960687961
1068025,2005-09-30,1.10786802030457
1068025,2005-12-31,1.10996119016818
1068025,2006-03-31,1.11082138200782
1068025,2006-06-30,1.11068211068211
1068025,2006-09-30,1.11125485122898
1068025,2006-12-31,1.11473272490222
1068025,2007-03-31,1.11787564766839
1068025,2007-06-30,1.12820512820513
1068025,2007-09-30,1.15189873417722
1068025,2007-12-31,1.16589861751152
1068025,2008-03-31,1.16371681415929
1068025,2008-06-30,1.16444444444444
1068025,2008-09-30,1.16444444444444
1068025,2008-12-31,1.16450216450216
1068025,2009-03-31,1.16593886462882
1068025,2009-06-30,1.16444444444444
1068025,2009-09-30,1.16444444444444
1068025,2009-12-31,1.17289719626168
1068025,2010-03-31,1.16666666666667
1068025,2010-06-30,1.16666666666667
1068025,2010-09-30,1.16826923076923
1068025,2010-12-31,1.16582914572864
1068025,2011-03-31,1.16836734693878
1068025,2011-06-30,1.16483516483517
1068025,2011-09-30,1.1638418079096
1068025,2011-12-31,1.13636363636364
1068025,2012-03-31,1.13609467455621
1068025,2012-06-30,1.13529411764706
1068025,2012-09-30,1.13095238095238
1068025,2012-12-31,1.11931818181818
1068025,2013-03-31,1.12
1068025,2013-06-30,1.12068965517241
1068025,2013-09-30,1.12962962962963
1068025,2013-12-31,1.0969696969697
1068025,2014-03-31,1.09433962264151
1068025,2014-06-30,1.09433962264151
1068025,2014-09-30,1.09493670886076
1068025,2014-12-31,1.1006711409396
1068025,2015-03-31,1.10416666666667
1068025,2015-06-30,1.1063829787234
1068025,2015-09-30,1.10071942446043
1068025,2015-12-31,1.10294117647059
1068025,2016-03-31,1.12244897959184
1068025,2016-06-30,1.12765957446809
1068025,2016-09-30,1.10810810810811
1068025,2016-12-31,1.05208333333333
1068025,2017-03-31,1.05376344086022
1068025,2017-06-30,1.06741573033708
1068025,2017-09-30,1.05
1068025,2017-12-31,1.05042016806723
1068025,2018-03-31,1.03030303030303
1068025,2018-06-30,1.03260869565217
1068025,2018-09-30,1.03296703296703
1068191,1999-12-31,1.05172413793103
1068191,2000-03-31,1.05172413793103
1068191,2000-06-30,1.04761904761905
1068191,2000-09-30,1.05882352941176
1068191,2000-12-31,1.07352941176471
1068191,2001-03-31,1.07246376811594
1068191,2001-06-30,1.07042253521127
1068191,2001-09-30,1.09433962264151
1068191,2001-12-31,1.09090909090909
1068191,2002-03-31,1.09090909090909
1068191,2002-06-30,1.13114754098361
1068191,2002-09-30,1.13793103448276
1068191,2002-12-31,1.12903225806452
1068191,2003-03-31,1.13114754098361
1068191,2003-06-30,1.14754098360656
1068191,2003-09-30,1.13432835820896
1068191,2003-12-31,1.13636363636364
1068191,2004-03-31,1.12857142857143
1068191,2004-06-30,1.1304347826087
1068191,2004-09-30,1.12676056338028
1068191,2004-12-31,1.11392405063291
1068191,2005-03-31,1.1025641025641
1068191,2005-06-30,1.10958904109589
1068191,2005-09-30,1.11111111111111
1068191,2005-12-31,1.11267605633803
1068191,2006-03-31,1.08974358974359
1068191,2006-06-30,1.09722222222222
1068191,2006-09-30,1.09459459459459
1068191,2006-12-31,1.09210526315789
1068191,2007-03-31,1.09333333333333
1068191,2007-06-30,1.09210526315789
1068191,2007-09-30,1.07692307692308
1068191,2007-12-31,1.07777777777778
1068191,2008-03-31,1.07692307692308
1068191,2008-06-30,1.07608695652174
1068191,2008-09-30,1.07608695652174
1068191,2008-12-31,1.07777777777778
1068191,2009-03-31,1.07368421052632
1068191,2009-06-30,1.07368421052632
1068191,2009-09-30,1.07608695652174
1068191,2009-12-31,1.07865168539326
1068191,2010-03-31,1.07865168539326
1068191,2010-06-30,1.09090909090909
1068191,2010-09-30,1.08988764044944
1068191,2010-12-31,1.08988764044944
1068191,2011-03-31,1.09090909090909
1068191,2011-06-30,1.09302325581395
1068191,2011-09-30,1.09195402298851
1068191,2011-12-31,1.09195402298851
1068191,2012-03-31,1.07954545454545
1068191,2012-06-30,1.07692307692308
1068191,2012-09-30,1.08045977011494
1068191,2012-12-31,1.08139534883721
1068191,2013-03-31,1.08139534883721
1068191,2013-06-30,1.08139534883721
1068191,2013-09-30,1.08139534883721
1068191,2013-12-31,1.08235294117647
1068191,2014-03-31,1.08433734939759
1068191,2014-06-30,1.08433734939759
1068191,2014-09-30,1.08536585365854
1068191,2014-12-31,1.08536585365854
1068191,2015-03-31,1.08536585365854
1068191,2015-06-30,1.08433734939759
1068191,2015-09-30,1.08333333333333
1068191,2015-12-31,1.08333333333333
1068191,2016-03-31,1.08536585365854
1068191,2016-06-30,1.09411764705882
1068191,2016-09-30,1.07843137254902
1068191,2016-12-31,1.06862745098039
1068191,2017-03-31,1.06930693069307
1068191,2017-06-30,1.07142857142857
1068191,2017-09-30,1.07368421052632
1068191,2017-12-31,1.07692307692308
1068191,2018-03-31,1.07777777777778
1068191,2018-06-30,1.07777777777778
1068191,2018-09-30,1.07608695652174
1069778,1999-12-31,1.03444564047363
1069778,2000-03-31,1.03695881731785
1069778,2000-06-30,1.0377358490566
1069778,2000-09-30,1.03896103896104
1069778,2000-12-31,1.03898635477583
1069778,2001-03-31,1.07869481765835
1069778,2001-06-30,1.08215297450425
1069778,2001-09-30,1.08059701492537
1069778,2001-12-31,1.08134920634921
1069778,2002-03-31,1.08023483365949
1069778,2002-06-30,1.08204633204633
1069778,2002-09-30,1.0837297811608
1069778,2002-12-31,1.08396226415094
1069778,2003-03-31,1.08560677328316
1069778,2003-06-30,1.09039548022599
1069778,2003-09-30,1.09150326797386
1069778,2003-12-31,1.08940092165899
1069778,2004-03-31,1.08900999091735
1069778,2004-06-30,1.0897552130553
1069778,2004-09-30,1.08968609865471
1069778,2004-12-31,1.08771929824561
1069778,2005-03-31,1.08848797250859
1069778,2005-06-30,1.0885328836425
1069778,2005-09-30,1.09105960264901
1069778,2005-12-31,1.09385113268608
1069778,2006-03-31,1.09390048154093
1069778,2006-06-30,1.0958795562599
1069778,2006-09-30,1.10868031051517
1069778,2006-12-31,1.1089521165857
1069778,2007-03-31,1.10278514588859
1069778,2007-06-30,1.11706349206349
1069778,2007-09-30,1.09947643979058
1069778,2007-12-31,1.09948979591837
1069778,2008-03-31,1.04187192118227
1069778,2008-06-30,1.03953488372093
1069778,2008-09-30,1.03944315545244
1069778,2008-12-31,1.03709677419355
1069778,2009-03-31,1.03548387096774
1069778,2009-06-30,1.04952076677316
1069778,2009-09-30,1.05073649754501
1069778,2009-12-31,1.05529953917051
1069778,2010-03-31,1.05331179321486
1069778,2010-06-30,1.05418719211823
1069778,2010-09-30,1.05308219178082
1069778,2010-12-31,1.05354058721934
1069778,2011-03-31,1.05457746478873
1069778,2011-06-30,1.05486725663717
1069778,2011-09-30,1.05525846702317
1069778,2011-12-31,1.05776173285199
1069778,2012-03-31,1.05797101449275
1069778,2012-06-30,1.06363636363636
1069778,2012-09-30,1.07846410684474
1069778,2012-12-31,1.07779578606159
1069778,2013-03-31,1.0740157480315
1069778,2013-06-30,1.07389937106918
1069778,2013-09-30,1.07121212121212
1069778,2013-12-31,1.0687134502924
1069778,2014-03-31,1.06911764705882
1069778,2014-06-30,1.06772334293948
1069778,2014-09-30,1.06801736613603
1069778,2014-12-31,1.06388888888889
1069778,2015-03-31,1.05984042553191
1069778,2015-06-30,1.05913272010512
1069778,2015-09-30,1.0646830530401
1069778,2015-12-31,1.06472081218274
1069778,2016-03-31,1.06625766871166
1069778,2016-06-30,1.06737588652482
1069778,2016-09-30,1.06737588652482
1069778,2016-12-31,1.06542056074766
1069778,2017-03-31,1.06581986143187
1069778,2017-06-30,1.06627906976744
1069778,2017-09-30,1.06589595375723
1069778,2017-12-31,1.06451612903226
1069778,2018-03-31,1.06327683615819
1069778,2018-06-30,1.06331877729258
1069778,2018-09-30,1.06086956521739
1070345,1999-12-31,1.01530612244898
1070345,2000-03-31,1.01442307692308
1070345,2000-06-30,1.01421800947867
1070345,2000-09-30,1.01408450704225
1070345,2000-12-31,1.01382488479263
1070345,2001-03-31,1.01310043668122
1070345,2001-06-30,1.01379310344828
1070345,2001-09-30,1.01694915254237
1070345,2001-12-31,1.01650165016502
1070345,2002-03-31,1.01633986928105
1070345,2002-06-30,1.01597444089457
1070345,2002-09-30,1.01577287066246
1070345,2002-12-31,1.01543209876543
1070345,2003-03-31,1.01226993865031
1070345,2003-06-30,1.01194029850746
1070345,2003-09-30,1.01461988304094
1070345,2003-12-31,1.03977272727273
1070345,2004-03-31,1.0391061452514
1070345,2004-06-30,1.03783783783784
1070345,2004-09-30,1.03674540682415
1070345,2004-12-31,1.0352644836272
1070345,2005-03-31,1.03562340966921
1070345,2005-06-30,1.03473945409429
1070345,2005-09-30,1.03381642512077
1070345,2005-12-31,1.03660886319846
1070345,2006-03-31,1.03543307086614
1070345,2006-06-30,1.04705882352941
1070345,2006-09-30,1.04558404558405
1070345,2006-12-31,1.04558404558405
1070345,2007-03-31,1.04432132963989
1070345,2007-06-30,1.04177545691906
1070345,2007-09-30,1.04010025062657
1070345,2007-12-31,1.03874092009685
1070345,2008-03-31,1.03747072599532
1070345,2008-06-30,1.03555555555556
1070345,2008-09-30,1.03493449781659
1070345,2008-12-31,1.03440860215054
1070345,2009-03-31,1.03404255319149
1070345,2009-06-30,1.0379746835443
1070345,2009-09-30,1.0375
1070345,2009-12-31,1.03621730382294
1070345,2010-03-31,1.03193612774451
1070345,2010-06-30,1.04975124378109
1070345,2010-09-30,1.05079365079365
1070345,2010-12-31,1.04804804804805
1070345,2011-03-31,1.04761904761905
1070345,2011-06-30,1.04698972099853
1070345,2011-09-30,1.04166666666667
1070345,2011-12-31,1.04267425320057
1070345,2012-03-31,1.04125177809388
1070345,2012-06-30,1.04054054054054
1070345,2012-09-30,1.03810775295664
1070345,2012-12-31,1.03856041131105
1070345,2013-03-31,1.0381679389313
1070345,2013-06-30,1.03620474406991
1070345,2013-09-30,1.03589108910891
1070345,2013-12-31,1.03623188405797
1070345,2014-03-31,1.03571428571429
1070345,2014-06-30,1.03357314148681
1070345,2014-09-30,1.0327485380117
1070345,2014-12-31,1.0317100792752
1070345,2015-03-31,1.03218390804598
1070345,2015-06-30,1.03185437997725
1070345,2015-09-30,1.03153153153153
1070345,2015-12-31,1.03229278794403
1070345,2016-03-31,1.03225806451613
1070345,2016-06-30,1.03191489361702
1070345,2016-09-30,1.03191489361702
1070345,2016-12-31,1.02909482758621
1070345,2017-03-31,1.02906350914962
1070345,2017-06-30,1.03094983991462
1070345,2017-09-30,1.03193832599119
1070345,2017-12-31,1.03197353914002
1070345,2018-03-31,1.03139013452915
1070345,2018-06-30,1.03072983354674
1070345,2018-09-30,1.02925531914894
1073757,1999-12-31,1.11635475996745
1073757,2000-03-31,1.11020408163265
1073757,2000-06-30,1.11198738170347
1073757,2000-09-30,1.11053024645258
1073757,2000-12-31,1.11383285302594
1073757,2001-03-31,1.10864903502502
1073757,2001-06-30,1.10884831460674
1073757,2001-09-30,1.11064543168483
1073757,2001-12-31,1.11388196176226
1073757,2002-03-31,1.11314475873544
1073757,2002-06-30,1.11906744379684
1073757,2002-09-30,1.12162162162162
1073757,2002-12-31,1.1362763915547
1073757,2003-03-31,1.14393226716839
1073757,2003-06-30,1.15928369462771
1073757,2003-09-30,1.16003787878788
1073757,2003-12-31,1.15759312320917
1073757,2004-03-31,1.15754716981132
1073757,2004-06-30,1.12870662460568
1073757,2004-09-30,1.13186119873817
1073757,2004-12-31,1.133125
1073757,2005-03-31,1.13125
1073757,2005-06-30,1.13312693498452
1073757,2005-09-30,1.13442211055276
1073757,2005-12-31,1.13307493540052
1073757,2006-03-31,1.13312693498452
1073757,2006-06-30,1.12665066026411
1073757,2006-09-30,1.13483146067416
1073757,2006-12-31,1.1396449704142
1073757,2007-03-31,1.13598574821853
1073757,2007-06-30,1.13452914798206
1073757,2007-09-30,1.13091715976331
1073757,2007-12-31,1.13390313390313
1073757,2008-03-31,1.13585434173669
1073757,2008-06-30,1.13174491941135
1073757,2008-09-30,1.12405063291139
1073757,2008-12-31,1.11296534017972
1073757,2009-03-31,1.12061560486757
1073757,2009-06-30,1.12513523260007
1073757,2009-09-30,1.12780593772629
1073757,2009-12-31,1.12954300107953
1073757,2010-03-31,1.13192419825073
1073757,2010-06-30,1.13222836095764
1073757,2010-09-30,1.12957430918596
1073757,2010-12-31,1.13284920973943
1073757,2011-03-31,1.13569844789357
1073757,2011-06-30,1.13754480286738
1073757,2011-09-30,1.13940774487472
1073757,2011-12-31,1.13317757009346
1073757,2012-03-31,1.13223938223938
1073757,2012-06-30,1.13290513833992
1073757,2012-09-30,1.12771327612317
1073757,2012-12-31,1.1295
1073757,2013-03-31,1.12791878172589
1073757,2013-06-30,1.12571132953958
1073757,2013-09-30,1.12546517809676
1073757,2013-12-31,1.11797133406836
1073757,2014-03-31,1.11581291759465
1073757,2014-06-30,1.11167800453515
1073757,2014-09-30,1.10864618885097
1073757,2014-12-31,1.10644418872267
1073757,2015-03-31,1.10348837209302
1073757,2015-06-30,1.09748803827751
1073757,2015-09-30,1.08944099378882
1073757,2015-12-31,1.08143939393939
1073757,2016-03-31,1.08055925432756
1073757,2016-06-30,1.07447528774543
1073757,2016-09-30,1.07353951890034
